timestamp_open,day_of_week_name,day_of_week_number,hour,minute,second,week_number,month,is_weekend,signal,entry_price,sl,tp,quantity_btc,buy_win,buy_loss,sell_win,sell_loss,choch_bull,choch_bear,bos_a,choch_a,timestamp_close,exit_price,pnl_usdc,pnl_percent,duration_minutes,status,ema_5,ema_8,ema_30,atr_14,fees_usdc,notes
2026-01-27 20:30:01,,,,,,,,,BUY,89067.08,88712.99811626389,89598.20282560418,0.000177,1,0,0,0,14,0,0,0,2026-01-28 11:48:24,89598.20282560418,0.0623849850718065,0.3957214526159026,918.3833333333332,CLOSED_WIN,88596.60287944617,88427.03523594425,88108.03784683271,354.0818837361117,0.0316237550601319,"BUY - BOS Bullish (swing=12, micro=3)"
2026-01-28 12:00:01,,,,,,,,,BUY,89980.01,89751.5366482399,90322.72002764014,0.000175,0,1,0,0,59,0,1,0,2026-01-28 12:20:13,89751.5366482399,-0.0714358572214579,-0.4536617615494052,20.2,CLOSED_LOSS,89588.59386183703,89482.30042741848,89212.55283952555,228.47335176009364,0.0314530206634419,"BUY - BOS_A Bullish (swing=12, micro=3)"
2026-01-28 12:30:01,,,,,,,,,BUY,89775.08,89546.76971200277,90117.54543199584,0.000175,1,0,0,0,61,0,1,0,2026-01-28 13:10:55,90117.54543199584,0.0284502411486747,0.1810890133028631,40.9,CLOSED_WIN,89703.95504970534,89607.11136967292,89285.98888453798,228.31028799722355,0.0314812094505992,"BUY - BOS_A Bullish (swing=12, micro=3)"
2026-01-28 13:15:01,,,,,,,,,BUY,90079.0,89840.47097932584,90436.79353101124,0.000175,0,1,0,0,64,0,1,0,2026-01-28 14:34:16,89840.47097932584,-0.0732284860393615,-0.464535009995109,79.25,CLOSED_LOSS,89887.97112583864,89789.62419725352,89403.69046171651,238.52902067416096,0.031485907421382,"BUY - BOS_A Bullish (swing=12, micro=3)"
2026-01-28 14:45:01,,,,,,,,,BUY,89602.99,89358.81485925868,89969.252711112,0.000176,0,1,0,0,71,0,1,0,2026-01-28 15:09:45,89358.81485925868,-0.074472102425701,-0.4722352966129526,24.73333333333333,CLOSED_LOSS,89785.50470085691,89830.03421505226,89595.52029087883,244.17514074132325,0.0314972776552295,"BUY - BOS_A Bullish (swing=12, micro=3)"
2026-01-30 14:45:01,,,,,,,,,BUY,83524.64,83183.9588647193,84035.66170292105,0.000189,0,1,0,0,38,0,0,0,2026-01-30 14:53:07,83183.9588647193,-0.0958966597534837,-0.6074731170890612,8.1,CLOSED_LOSS,83203.63448744586,83063.88199299641,82808.11543824845,340.68113528069097,0.0315079251854319,"BUY - BOS Bullish (swing=12, micro=3)"
2026-01-30 16:45:01,,,,,,,,,BUY,83280.28,82783.82844768505,84024.95732847242,0.000189,0,1,0,0,45,0,0,0,2026-01-30 17:04:13,82783.82844768505,-0.1252154598841384,-0.7955252561142169,19.2,CLOSED_LOSS,83081.03383374169,83033.05919029197,82863.67183877119,496.45155231494346,0.0313861164966124,"BUY - BOS Bullish (swing=12, micro=3)"
2026-01-30 17:30:02,,,,,,,,,BUY,83265.0,82786.86036376335,83982.20945435498,0.000189,0,1,0,0,49,0,0,0,2026-01-30 18:09:54,82786.86036376335,-0.1217521928574769,-0.7736642005649516,39.86666666666667,CLOSED_LOSS,83116.1647078996,83074.54812923197,82911.25827739484,478.13963623664927,0.0313838016087512,"BUY - BOS Bullish (swing=12, micro=3)"
2026-01-30 19:00:02,,,,,,,,,BUY,83825.43,83261.96035394598,84670.63446908101,0.000188,0,1,0,0,17,0,0,0,2026-01-31 08:11:40,83261.96035394598,-0.1373447228446966,-0.871521967030722,791.6333333333333,CLOSED_LOSS,83383.48195423718,83242.44331863412,82984.53443282293,563.4696460540102,0.0314124293865418,"BUY - BOS Bullish (swing=12, micro=3)"
2026-02-01 10:15:02,,,,,,,,,BUY,79124.57,78820.57808223934,79580.557876641,0.000199,0,1,0,0,23,0,0,0,2026-02-01 10:34:13,78820.57808223934,-0.091925476102737,-0.5838098909642097,19.183333333333334,CLOSED_LOSS,78888.48529125223,78790.73022061582,78657.58872152274,303.9919177606673,0.0314310844683656,"BUY - BOS Bullish (swing=12, micro=3)"
